Sample,DistributedLatency_ms,IntegratedLatency_ms,DistributedDeadlineMiss,IntegratedDeadlineMiss
507,20.5033032278829,18.8942001088837,0,0
508,20.5341797552401,22.5580793346422,0,0
509,21.589722318173,24.5836648103878,0,0
510,22.9432193751171,25.1787722796923,0,1
511,24.0046773247911,25.1714692254566,0,1
512,22.2759144876452,22.0632895444053,0,0
513,23.8409699563561,21.7692587145583,0,0
514,18.946620797498,25.7975091306263,0,1
515,21.1962436553397,25.5866558685808,0,1
516,21.2546395595333,23.716597398248,0,0
517,22.3652491648481,16.4984314634953,0,0
518,24.4331512461783,22.0888348421765,0,0
519,23.49003387514,18.0020587785844,0,0
520,24.2604998939821,18.2103006167749,0,0
521,19.6353731227719,18.5340229586082,0,0
522,23.5097565252636,24.7490696065947,0,0
523,19.0408011980305,30.5280044239015,0,1
524,23.0613661504261,17.6729382420268,0,0
525,25.4132500297694,26.0717433604309,1,1
526,21.849636546529,15.0857705303653,0,0
527,19.6231700185231,18.3429617110696,0,0
528,23.9409318353876,19.6218881465994,0,0
529,20.394838716249,28.1049772605738,0,1
530,24.5907509141943,19.0337669546585,0,0
531,23.1224671921168,18.2897463823457,0,0
532,24.7501477952481,16.7441452214859,0,0
533,19.282089684418,20.2303306760274,0,0
534,23.9390379521657,24.506851731183,0,0
535,17.717531920623,25.6958128188267,0,1
536,25.0778598278519,18.6707143697508,1,0
537,19.2653027761675,23.7525502739097,0,0
538,24.4009873988063,16.5812430051665,0,0
539,22.8015873132504,22.1969718565095,0,0
540,20.531575295344,23.4349997858334,0,0
541,20.7387622223281,22.2061864499362,0,0
542,17.4213162642102,22.4352460146175,0,0
543,24.8509502165988,27.0229308492596,0,1
544,19.1853625394154,15.3391873062129,0,0
545,19.9963555466899,22.4280520501876,0,0
546,20.726641730056,26.4693344288335,0,1
547,20.7789565962845,15.4230870125085,0,0
548,19.8969399800639,23.3390666677331,0,0
549,22.1763071791058,25.6347689628227,0,1
550,19.0726869285538,24.8641427941936,0,0
551,21.6509826571635,24.8664579262439,0,0
552,23.2840437462864,22.9752250959803,0,0
553,19.9626288626462,24.0470050236023,0,0
554,19.9366065092176,18.560639543766,0,0
555,22.9593358754423,25.5595202846118,0,1
556,22.833941948886,28.502965035956,0,1
557,25.4828145998964,19.2632797757589,1,0
558,19.312142590029,21.8672993865299,0,0
559,22.802069706788,22.4706152457979,0,0
560,25.1409160638197,23.3549539297879,1,0
561,22.7015265466958,23.5370625490058,0,0
562,20.9884166598543,25.6758504461743,0,1
563,21.087715042829,23.0971623775886,0,0
564,23.5365029056264,18.8996796034899,0,0
565,19.2379197596039,23.13670474859,0,0
566,22.4050060655402,23.1387068317476,0,0
567,22.7407037625996,25.5643900608631,0,1
568,20.5333602805626,21.7876430991145,0,0
569,22.4814697999736,27.4167975837755,0,1
570,21.4154865616857,26.3297392698457,0,1
571,20.107891447533,23.5193352939065,0,0
572,21.8722632096081,23.7842185085191,0,0
573,22.44348189823,23.2232511852148,0,0
574,25.8831395650177,23.3053654151933,1,0
575,21.6436887644437,21.1810353800611,0,0
576,27.3784804814685,20.505160643783,1,0
577,23.1105196935912,24.1847327233358,0,0
578,18.3829856176299,22.3333653720195,0,0
579,15.8286739952196,28.2666916423674,0,1
580,25.1929881109927,22.0666750720634,1,0
581,22.0121245496803,23.8817569771254,0,0
582,20.9214285183102,29.6753995084296,0,1
583,19.9011912970634,23.8082631699468,0,0
584,21.4542898850831,20.9603301579038,0,0
585,20.0692837674826,19.0361318009128,0,0
586,21.1340651031877,20.9213336847153,0,0
587,21.2319984386541,24.90442888031,0,0
588,21.1298410004264,22.533867805752,0,0
589,23.9195788953843,25.3635368690586,0,1
590,20.003342119756,23.2986831311419,0,0
591,22.1021463833324,23.5165131649325,0,0
592,22.6729376240686,28.096665258167,0,1
593,21.1258741148546,29.9677041737379,0,1
594,24.5146704845256,24.1564615724707,0,0
595,20.1335810892827,24.3027837818991,0,0
596,22.9116693327354,21.2928408301759,0,0
597,21.3014909100389,22.3629072561438,0,0
598,27.0789870471504,21.8145973463318,1,0
599,19.5235197976383,19.7399914149108,0,0
600,23.9486327948558,21.704473804105,0,0
601,21.9213966530034,18.8734891285222,0,0
602,20.1072627796479,16.0022205105763,0,0
603,19.8890716755523,21.4667669409151,0,0
604,25.2149946760396,24.6822748385967,1,0
605,24.7918756396915,26.7132156143276,0,1
606,21.8154450240494,21.6693149433896,0,0
607,22.4789610311523,23.1449002737354,0,0
608,21.9844566944535,19.0731237551662,0,0
609,24.2958788340684,21.0881660709884,0,0
610,23.0958966813441,26.914524823243,0,1
611,20.5305763088118,19.2772470036808,0,0
612,21.8577766170036,22.8750905415147,0,0
613,22.2701940309957,22.2457655755914,0,0
614,20.4663887597962,22.208295892383,0,0
615,19.4202329506009,23.9338505046839,0,0
616,22.2723899497096,20.5120418021049,0,0
617,20.8731156872814,16.011583774389,0,0
618,20.7681590010889,20.9287480859453,0,0
619,16.8256335780614,25.4947783300574,0,1
620,23.5210844617567,18.2618722298322,0,0
621,23.9338670070344,23.8907605038795,0,0
622,20.0264959701948,23.3877077428782,0,0
623,17.8175405875494,19.1970282432364,0,0
624,21.9096521037637,23.4310310012331,0,0
625,21.918816339544,25.0738744294745,0,1
626,20.8239824530131,21.9147645609106,0,0
627,24.5315705549656,25.9644462075586,0,1
628,22.8860437521982,26.1150878517023,0,1
629,21.7037550657765,22.3915039594632,0,0
